Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
1147,WWE 2K17,All,2K Sports,N/A,N/A,N/A,3.00m,11th Oct 16,24th Oct 20,Sports
1148,Mortal Kombat,All,Midway,N/A,N/A,N/A,3.00m,08th Oct 92,28th Oct 20,Fighting
1149,Mortal Kombat (2011),All,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,3.00m,19th Apr 11,28th Oct 20,Fighting
1150,Civilization II,All,Microprose,N/A,N/A,N/A,3.00m,29th Feb 96,31st Oct 20,Strategy
1151,BioShock 2,All,2K Games,N/A,N/A,N/A,3.00m,09th Feb 10,03rd Nov 20,Shooter
1152,Command & Conquer,All,Virgin Interactive,N/A,N/A,N/A,3.00m,26th Sep 95,08th Nov 20,Strategy
1153,"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",NS,Konami,N/A,N/A,N/A,3.00m,19th Nov 20,24th Nov 20,Party
1154,Shaun White Snowboarding,All,Ubisoft,N/A,N/A,N/A,3.00m,16th Nov 08,26th Nov 20,Sports
1155,World War Z,All,Mad Dog Games,N/A,N/A,N/A,3.00m,16th Apr 19,27th Nov 20,Shooter
1156,Ace Combat 7: Skies Unknown,All,Bandai Namco Entertainment,N/A,N/A,N/A,3.00m,18th Jan 19,03rd Dec 20,Simulation
1157,Mass Effect: Andromeda,All,Electronic Arts,N/A,N/A,N/A,3.00m,21st Mar 17,05th Dec 20,Role-Playing
1158,Farming Simulator 15﻿,All,Focus Home Interactive,N/A,N/A,N/A,3.00m,30th Oct 14,18th Dec 20,Simulation
1159,Bastion,All,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,3.00m,20th Jul 11,27th Dec 20,Role-Playing
1160,Crysis 2,All,Electronic Arts,N/A,N/A,N/A,3.00m,22nd Mar 11,31st Dec 20,Shooter
1161,Risk of Rain,All,Chucklefish,N/A,N/A,N/A,3.00m,08th Nov 13,10th Jan 21,Platform
1162,Kingdom Come: Deliverance,All,Deep Silver,N/A,N/A,N/A,3.00m,13th Feb 18,10th Jan 21,Role-Playing
1163,Lords of the Fallen,All,Bandai Namco Games,N/A,N/A,N/A,3.00m,28th Oct 14,11th Jan 21,Role-Playing
1164,Jurassic World Evolution,All,Frontier Developments,N/A,N/A,N/A,3.00m,12th Jun 18,19th Jan 21,Simulation
1165,Enter the Gungeon,All,Devolver Digital,N/A,N/A,N/A,3.00m,05th Apr 16,21st Jan 21,Shooter
1166,Little Nightmares,All,Bandai Namco Entertainment,N/A,N/A,N/A,3.00m,28th Apr 17,22nd Jan 21,Platform
1167,Deep Rock Galactic,All,Coffee Stain Publishing,N/A,N/A,N/A,3.00m,13th May 20,26th Jan 21,Shooter
1168,Life is Strange,All,Square Enix,N/A,N/A,N/A,3.00m,30th Jan 15,14th Feb 21,Adventure
1169,Disney Infinity,All,Disney Interactive Studios,N/A,N/A,N/A,3.00m,18th Aug 13,17th Feb 21,Action-Adventure
1170,Syberia,Series,Microids,N/A,N/A,N/A,3.00m,09th Jan 02,09th Mar 21,Adventure
1171,Frogwares' Sherlock Holmes,Series,The Adventure Company,N/A,N/A,N/A,3.00m,22nd Jan 03,09th Mar 21,Adventure
1172,It Takes Two,All,Electronic Arts,N/A,N/A,N/A,3.00m,26th Mar 21,23rd Apr 21,Action-Adventure
1173,Chivalry,Series,Torn Banner Studios,N/A,N/A,N/A,3.00m,10th Sep 07,17th Aug 21,Action
1174,Farming Simulator 22,All,Giants Software,N/A,N/A,N/A,3.00m,22nd Nov 21,01st Dec 21,Simulation
1175,WWE SmackDown! vs. Raw 2006,PS2,THQ,N/A,8.4,N/A,N/A,15th Nov 05,04th Jan 18,Fighting
1176,Star Fox,SNES,Nintendo,N/A,N/A,N/A,2.99m,01st Mar 93,N/A,Shooter
1177,The Sims: Livin Large,PC,Electronic Arts,N/A,N/A,N/A,N/A,27th Aug 00,N/A,Misc
1178,Kirby Super Star Ultra    Read the review,DS,Nintendo,9.0,7.3,N/A,2.99m,22nd Sep 08,N/A,Platform
1179,World Soccer Winning Eleven 6 International,PS2,Konami,N/A,N/A,N/A,N/A,11th Mar 03,N/A,Sports
1180,Far Cry 3,X360,Ubisoft,N/A,N/A,N/A,N/A,04th Dec 12,07th Feb 18,Shooter
1181,Style Savvy,DS,Nintendo,N/A,7.6,N/A,2.98m,02nd Nov 09,N/A,Simulation
1182,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo,N/A,7.8,N/A,2.98m,14th Nov 10,N/A,Puzzle
1183,Super Meat Boy,PC,Unknown,N/A,9.2,N/A,2.97m,30th Nov 10,N/A,Platform
1184,Yokai Watch,3DS,Nintendo,N/A,7.7,N/A,2.97m,06th Nov 15,05th Jan 18,Role-Playing
1185,Ratchet & Clank: Going Commando,PS2,Sony Computer Entertainment,N/A,8.7,N/A,2.97m,11th Nov 03,N/A,Platform
1186,The Legend of Zelda: Spirit Tracks    Read the review,DS,Nintendo,9.0,8.7,N/A,2.96m,07th Dec 09,N/A,Adventure
1187,Battlefield: Bad Company 2,PS3,Electronic Arts,N/A,8.9,8.8,N/A,02nd Mar 10,N/A,Shooter
1188,Hitman 2: Silent Assassin,PS2,Eidos Interactive,N/A,N/A,N/A,N/A,01st Oct 02,N/A,Action
1189,Street Fighter IV    Read the review,X360,Capcom,9.1,9.3,9.3,N/A,17th Feb 09,N/A,Fighting
1190,SOCOM II: U.S. Navy SEALs,PS2,Sony Computer Entertainment,N/A,N/A,N/A,N/A,04th Nov 03,N/A,Shooter
1191,WWE SmackDown! vs. RAW 2006,PS2,THQ,N/A,N/A,N/A,N/A,14th Nov 05,N/A,Fighting
1192,Wave Race 64,N64,Nintendo,N/A,9.2,N/A,2.94m,05th Nov 96,N/A,Racing
1193,Pac-Man Collection,GBA,Namco,N/A,N/A,N/A,N/A,12th Jul 01,N/A,Puzzle
